location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2812718,"Gymnasium 39","pm25",21.49,"µg/m³","2025-09-07T02:14:36Z","2025-09-07T07:14:36+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",21.99,"µg/m³","2025-09-07T02:32:06Z","2025-09-07T07:32:06+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",21.72,"µg/m³","2025-09-07T02:49:36Z","2025-09-07T07:49:36+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",24.28,"µg/m³","2025-09-07T03:07:06Z","2025-09-07T08:07:06+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",24.57,"µg/m³","2025-09-07T03:24:35Z","2025-09-07T08:24:35+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",26.32,"µg/m³","2025-09-07T03:42:04Z","2025-09-07T08:42:04+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",22.79,"µg/m³","2025-09-07T03:59:33Z","2025-09-07T08:59:33+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",24.45,"µg/m³","2025-09-07T04:17:01Z","2025-09-07T09:17:01+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",22.91,"µg/m³","2025-09-07T04:34:30Z","2025-09-07T09:34:30+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",24.1,"µg/m³","2025-09-07T04:51:58Z","2025-09-07T09:51:58+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",18.91,"µg/m³","2025-09-07T05:09:27Z","2025-09-07T10:09:27+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",20.76,"µg/m³","2025-09-07T05:26:55Z","2025-09-07T10:26:55+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",23.57,"µg/m³","2025-09-07T05:44:23Z","2025-09-07T10:44:23+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",19.7,"µg/m³","2025-09-07T06:01:52Z","2025-09-07T11:01:52+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",20,"µg/m³","2025-09-07T06:19:20Z","2025-09-07T11:19:20+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",19.73,"µg/m³","2025-09-07T06:36:48Z","2025-09-07T11:36:48+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",18.49,"µg/m³","2025-09-07T06:54:17Z","2025-09-07T11:54:17+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",18.6,"µg/m³","2025-09-07T07:11:45Z","2025-09-07T12:11:45+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",18.65,"µg/m³","2025-09-07T07:29:13Z","2025-09-07T12:29:13+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",16.76,"µg/m³","2025-09-07T07:46:41Z","2025-09-07T12:46:41+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",16.58,"µg/m³","2025-09-07T08:04:09Z","2025-09-07T13:04:09+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",18.75,"µg/m³","2025-09-07T08:21:38Z","2025-09-07T13:21:38+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",18.97,"µg/m³","2025-09-07T08:39:06Z","2025-09-07T13:39:06+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",18.2,"µg/m³","2025-09-07T08:56:34Z","2025-09-07T13:56:34+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",19.77,"µg/m³","2025-09-07T10:06:26Z","2025-09-07T15:06:26+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",19.6,"µg/m³","2025-09-07T10:23:54Z","2025-09-07T15:23:54+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",19.49,"µg/m³","2025-09-07T10:41:22Z","2025-09-07T15:41:22+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",20.92,"µg/m³","2025-09-07T10:58:51Z","2025-09-07T15:58:51+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",18.36,"µg/m³","2025-09-07T11:16:19Z","2025-09-07T16:16:19+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
2812718,"Gymnasium 39","pm25",23.29,"µg/m³","2025-09-07T11:33:48Z","2025-09-07T16:33:48+05:00","Asia/Almaty",43.34819,76.8433,,,,"Clarity","Clarity"
