location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2812784,"Respublika 4","pm25",24.4,"µg/m³","2025-09-07T13:24:39Z","2025-09-07T18:24:39+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",24.27,"µg/m³","2025-09-07T13:41:58Z","2025-09-07T18:41:58+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",23.44,"µg/m³","2025-09-07T13:59:18Z","2025-09-07T18:59:18+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",23.6,"µg/m³","2025-09-07T14:16:38Z","2025-09-07T19:16:38+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",20.56,"µg/m³","2025-09-07T14:33:57Z","2025-09-07T19:33:57+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",22.19,"µg/m³","2025-09-07T14:51:17Z","2025-09-07T19:51:17+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",22.14,"µg/m³","2025-09-07T15:08:37Z","2025-09-07T20:08:37+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",20.21,"µg/m³","2025-09-07T15:25:57Z","2025-09-07T20:25:57+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",21.46,"µg/m³","2025-09-07T15:43:38Z","2025-09-07T20:43:38+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",17.97,"µg/m³","2025-09-07T16:00:58Z","2025-09-07T21:00:58+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",20.98,"µg/m³","2025-09-07T17:10:37Z","2025-09-07T22:10:37+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",26.4,"µg/m³","2025-09-07T17:27:57Z","2025-09-07T22:27:57+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",25.85,"µg/m³","2025-09-07T17:45:17Z","2025-09-07T22:45:17+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",24.7,"µg/m³","2025-09-07T18:02:37Z","2025-09-07T23:02:37+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",22.45,"µg/m³","2025-09-07T18:19:56Z","2025-09-07T23:19:56+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",19.72,"µg/m³","2025-09-07T18:37:17Z","2025-09-07T23:37:17+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",19.67,"µg/m³","2025-09-07T18:54:37Z","2025-09-07T23:54:37+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",18.53,"µg/m³","2025-09-07T19:11:57Z","2025-09-08T00:11:57+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",17.05,"µg/m³","2025-09-07T19:29:38Z","2025-09-08T00:29:38+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",17.58,"µg/m³","2025-09-07T19:46:59Z","2025-09-08T00:46:59+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",15.47,"µg/m³","2025-09-07T20:04:40Z","2025-09-08T01:04:40+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",15.95,"µg/m³","2025-09-07T21:13:59Z","2025-09-08T02:13:59+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",16.23,"µg/m³","2025-09-07T21:31:19Z","2025-09-08T02:31:19+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",15.34,"µg/m³","2025-09-07T21:48:38Z","2025-09-08T02:48:38+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",15.51,"µg/m³","2025-09-07T22:05:58Z","2025-09-08T03:05:58+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",13.75,"µg/m³","2025-09-07T23:16:01Z","2025-09-08T04:16:01+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",14.38,"µg/m³","2025-09-07T23:33:21Z","2025-09-08T04:33:21+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
2812784,"Respublika 4","pm25",13.04,"µg/m³","2025-09-07T23:50:41Z","2025-09-08T04:50:41+05:00","Asia/Almaty",43.2368,76.94481,,,,"Clarity","Clarity"
