location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
8876,"Almaty","pm25",20,"µg/m³","2025-09-07T01:00:00Z","2025-09-07T06:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",18,"µg/m³","2025-09-07T02:00:00Z","2025-09-07T07:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",19,"µg/m³","2025-09-07T03:00:00Z","2025-09-07T08:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",20,"µg/m³","2025-09-07T04:00:00Z","2025-09-07T09:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",29,"µg/m³","2025-09-07T05:00:00Z","2025-09-07T10:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",34,"µg/m³","2025-09-07T06:00:00Z","2025-09-07T11:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",30,"µg/m³","2025-09-07T07:00:00Z","2025-09-07T12:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",24,"µg/m³","2025-09-07T08:00:00Z","2025-09-07T13:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",28,"µg/m³","2025-09-07T09:00:00Z","2025-09-07T14:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",31,"µg/m³","2025-09-07T10:00:00Z","2025-09-07T15:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",30,"µg/m³","2025-09-07T11:00:00Z","2025-09-07T16:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",33,"µg/m³","2025-09-07T12:00:00Z","2025-09-07T17:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",39,"µg/m³","2025-09-07T13:00:00Z","2025-09-07T18:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",32,"µg/m³","2025-09-07T14:00:00Z","2025-09-07T19:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",29,"µg/m³","2025-09-07T15:00:00Z","2025-09-07T20:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",32,"µg/m³","2025-09-07T16:00:00Z","2025-09-07T21:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",37,"µg/m³","2025-09-07T17:00:00Z","2025-09-07T22:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",29,"µg/m³","2025-09-07T18:00:00Z","2025-09-07T23:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",20,"µg/m³","2025-09-07T19:00:00Z","2025-09-08T00:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",18,"µg/m³","2025-09-07T20:00:00Z","2025-09-08T01:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",17,"µg/m³","2025-09-07T21:00:00Z","2025-09-08T02:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",14,"µg/m³","2025-09-07T22:00:00Z","2025-09-08T03:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",16,"µg/m³","2025-09-07T23:00:00Z","2025-09-08T04:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
8876,"Almaty","pm25",16,"µg/m³","2025-09-08T00:00:00Z","2025-09-08T05:00:00+05:00","Asia/Almaty",43.252855,76.93118,,,,"Unknown Governmental Organization","AirNow"
