location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2812753,"School 190","pm25",1766.07,"µg/m³","2025-09-07T02:03:14Z","2025-09-07T07:03:14+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1751.09,"µg/m³","2025-09-07T02:20:13Z","2025-09-07T07:20:13+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1734.11,"µg/m³","2025-09-07T02:37:12Z","2025-09-07T07:37:12+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1711.05,"µg/m³","2025-09-07T02:54:12Z","2025-09-07T07:54:12+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1691.43,"µg/m³","2025-09-07T03:11:11Z","2025-09-07T08:11:11+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1671.03,"µg/m³","2025-09-07T03:28:11Z","2025-09-07T08:28:11+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1648.74,"µg/m³","2025-09-07T03:45:10Z","2025-09-07T08:45:10+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1621.32,"µg/m³","2025-09-07T04:02:09Z","2025-09-07T09:02:09+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1602.88,"µg/m³","2025-09-07T04:19:09Z","2025-09-07T09:19:09+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1583.28,"µg/m³","2025-09-07T04:36:08Z","2025-09-07T09:36:08+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1566.04,"µg/m³","2025-09-07T04:53:07Z","2025-09-07T09:53:07+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1546.02,"µg/m³","2025-09-07T05:10:07Z","2025-09-07T10:10:07+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1532.47,"µg/m³","2025-09-07T05:27:06Z","2025-09-07T10:27:06+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1523.52,"µg/m³","2025-09-07T05:44:05Z","2025-09-07T10:44:05+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1516.51,"µg/m³","2025-09-07T06:01:05Z","2025-09-07T11:01:05+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1513.78,"µg/m³","2025-09-07T06:18:04Z","2025-09-07T11:18:04+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
2812753,"School 190","pm25",1514.82,"µg/m³","2025-09-07T06:35:03Z","2025-09-07T11:35:03+05:00","Asia/Almaty",43.15476,76.8992,,,,"Clarity","Clarity"
